奶茶店名称,地址,纬度,经度
铂莱华快捷酒店(武汉汉口火车站地铁站店),汉口火车站银河里50（欧亚达广场旁）,30.620938,114.258925
陌陌世界微酒店(武汉武昌火车站店),天伦万金国际广场A座,30.538019,114.323988
锦江之星(武汉万松园美食街取水楼店),新华小路118-119号,30.599977,114.277616
湖北1919商务酒店,东方世家31栋,30.646335,114.306001
7天优品酒店(武汉中部战区医院街道口地铁站店),武珞路675号,30.535025,114.353325
易佰酒店(武汉汉口江汉路步行街店),上海路8号,30.584969,114.30351
武汉毕优特酒店(光谷步行街店),湖北省武汉市洪山区东湖新技术开发区光谷步行街B1区尚都公寓(光谷资本大厦斜对面),30.510226,114.408453
维纳斯国际酒店(武汉汉口北店),汉口北大道165号5栋,30.723013,114.354562
锦江之星(武汉武昌火车站店),千家街30号,30.537271,114.321293
如家酒店(武汉华中科技大学光谷步行街店),珞喻路726号世界城广场F1层,30.511794,114.412628
瑞安臻品酒店(十里铺地铁站王家湾地铁站店),湖北省武汉汉阳区汉阳大道十里铺刘家湾特一号(十里铺地铁站D出口步行250m),30.566847,114.222734
维也纳酒店(武汉永旺梦乐城江夏客厅地铁站店),文化大道109号侨亚国际广场,30.39413,114.327084
武汉江城大酒店,汉口火车站售票厅旁(金家墩特1号),30.624067,114.26311
汉庭酒店(武汉王家湾地铁站店),汉阳大道582号王家湾海天广场B座1、7-10楼,30.568275,114.218011
悦程精品酒店(武汉汉口北店),汉口北88号货运中心,30.704028,114.326112
7天优品酒店(武汉体育中心东风公司地铁站店),东风大道518号,30.502597,114.167611
城市便捷酒店(武汉汉口火车站西广场店),汉口火车站创业大厦一楼,30.623316,114.260813
武汉帝盛酒店(江汉路步行街店),湖北省武汉市江岸区江汉路118号港澳中心,30.588188,114.296759
运7酒店(武汉同济医院解放大道店),解放大道营房路19号,30.584847,114.257355
如家酒店·neo(武汉黄鹤楼民主路小东门地铁站店),民主路563号,30.550085,114.328961
汉庭酒店(武汉光谷广场店),湖北省武汉市洪山区珞瑜路560号商铺一层,30.518338,114.396139
城市便捷酒店(武汉黄孝河路香港路地铁站店),育才一村102号,30.617632,114.292102
维也纳国际酒店(武汉解放大道同济医学院店),湖北省武汉市硚口区解放大道578号(同济医院西南侧约500米),30.583081,114.260425
城市便捷酒店(武汉江汉路佳丽广场店),前进五路4号,30.585585,114.2963
维也纳酒店(武汉二七长江大桥余家头店),和平大道793号,30.618992,114.362869
城市便捷酒店(武汉金银潭地铁站店),常青花园康居五路2号金银潭地铁站B2四楼,30.656446,114.249526
城市便捷酒店(武汉虎泉街杨家湾地铁站店),卓刀泉路198号,30.513058,114.382825
城市便捷酒店(武汉梦时代街道口店),武珞路668号,30.534286,114.35295
金泰商务酒店(武汉光谷店),湖北省武汉市洪山区雄楚大道1000号,30.502934,114.411966
汉庭酒店(武汉中山公园地铁站店),解放大道710号游子乡大厦B座1层,30.587712,114.280626
莫泰酒店(武汉同济医院青年路地铁站店),万松园横路62号,30.594873,114.268359
雅斯特酒店(武汉光谷体育学院店),珞瑜路461号清和广场一楼,30.524712,114.381086
如家酒店(武汉理工大学文治街地铁站店),珞狮南路292号,30.509441,114.352034
维也纳酒店(武汉高铁站东广场店),武汉火车站综合办公楼,30.615964,114.433236
维也纳国际酒店(武汉华中科技大学佳园路地铁站店),东湖高新区佳园路5号,30.508209,114.438451
城市便捷酒店(武汉光谷中南民族大学青年城店),东湖高新区新竹路光谷青年城16栋,30.496824,114.407689
维也纳3好酒店(武汉黄鹤楼户部巷店),彭刘杨路196号,30.545375,114.305139
锦江之星(武汉江滩南京路科技馆店),湖北省武汉市江岸区南京路5号,30.585322,114.304745
城市便捷酒店(武汉汉口火车站地铁站店),金墩街13号,30.62264,114.265207
如家酒店·neo(武汉大学广埠屯地铁站店),珞瑜路127号,30.531133,114.367364
城市便捷酒店(武汉卓刀泉南路店),雄楚大道卓刀泉南路446号,30.5128,114.373161
维也纳酒店(武汉红钢城地铁站店),沿港路2号,30.644933,114.410167
维也纳酒店(武汉欢乐谷仁和地铁站店),和平村林家棚特5号,30.607243,114.397364
麗枫酒店(武汉高铁店),湖北省武汉市洪山区黄鹤路特1号,30.615225,114.427469
麗枫酒店(武汉王家湾汉阳客运站地铁站店),沌口经济开发区东风大道7号,30.535592,114.197805
武汉东方建国大酒店,武汉市江汉区发展大道185号,30.622189,114.265017
城市便捷酒店(武汉中南路傅家坡店),武珞路230号（中南路傅家坡客运站旁）,30.542044,114.332788
城市便捷酒店(武汉体育中心三角湖地铁站店),沌口经济技术开发区东风大道66号,30.522363,114.185734
如家精选酒店(武汉站欢乐谷店),湖北省武汉市青山区友谊大道948号玲珑汇4号楼,30.622285,114.387818
观湖铂金酒店(武汉取水楼地铁站店),台北路云林街65号,30.599758,114.283623
运7酒店(黄鹤楼首义路地铁站店),首义路47号2幢,30.544787,114.316518
维也纳国际酒店(武汉光谷广场店),民族大道158号光谷时间广场,30.501789,114.403162
维也纳国际酒店(武汉杨泗港长江大桥店),白沙洲大道132号长征综合楼,30.49537,114.29052
维也纳国际酒店(武汉庙山理工学院店),江夏大道88号庙山新时代广场,30.413237,114.379423
武汉九龙国际大酒店,湖北省武汉市洪山区雄楚大街272号九龙大酒店1-3楼（近省出版城、南湖）,30.516344,114.3506
维也纳酒店(湖北大学武昌江滩徐家棚地铁站店),和平大道872号,30.592128,114.336421
华洋晶品酒店(武汉欢乐谷仁和路地铁站店),团结大道金地自在城公寓楼3栋11至13楼,30.610506,114.392699
锦江之星品尚酒店(武汉大学洪山路地铁站店),湖北省武汉市武昌区洪山路62号,30.551862,114.35695
全季酒店(武汉光谷珞喻路店),珞瑜路459号,30.524111,114.383585
维也纳国际酒店(武汉宗关地铁站汉西店),湖北省武汉市硚口区汉西三路69号华鼎·丽都国际4号楼,30.601042,114.227603
如家酒店·neo(武汉汉口江滩店),沿江大道141号,30.586465,114.30523
格菲酒店(湖北二师光谷武汉东站地铁站店),光谷一路42号隆越大厦,30.48815,114.443757
喆啡酒店(武汉欢乐谷仁和路地铁站店),仁和路138号花样年幸福万象A2座,30.614097,114.393998
白玉兰酒店(武汉江滩黎黄陂路店),湖北省武汉市洪山区洞庭街74号,30.591839,114.306813
汉庭酒店(武汉汉口新华路店),新华路432号,30.609345,114.278359
武汉光谷君和格雷斯酒店,高新六路888号,30.443839,114.438543
城市快捷酒店(武汉高铁站东广场店),火车站东广场,30.609861,114.434177
汉庭酒店(武汉新华路协和医院店),新华路19号,30.593863,114.280459
全季酒店(武汉武昌中南路店),傅家坡一路11号,30.538691,114.337728
武汉体育中心地铁站万达广场锦江都城酒店,东风大道经开万达广场B座107－150号,30.511383,114.181441
怡尚花园酒店(武汉东湖风景区欢乐谷店),欢乐大道301号东湖庭园1栋,30.595215,114.384134
你好酒店(武汉汉口江滩店),黎黄陂路2号,30.592308,114.308241
麗枫酒店(武汉新华路取水楼店),台北一路2号,30.598831,114.281777
汉庭优佳酒店(武汉华科大创业街店),湖北省武汉市光谷关山大道创业街9号楼2层,30.506281,114.422838
秋果酒店(武汉解放大道同济医院店),湖北省武汉市硚口区宝丰街道宝丰二路22号,30.587312,114.261732
纽宾凯嘉瑞国际酒店(武汉高铁站欢乐谷店),和平大道八大家红坊里43栋,30.633359,114.388939
白玉兰酒店(武汉江滩南京路科技馆店),南京路5号与沿江大道,30.585262,114.304795
你好酒店(武汉归元寺钟家村地铁站店),汉阳大道267号,30.555599,114.2666
帅府铂雅饭店(武汉王家湾国博中心店),龙阳大道26号,30.569734,114.216766
汉庭酒店(武汉东湖店),东亭路25号,30.579011,114.370906
康铂酒店(武汉东湖徐东汪家墩地铁站店),徐东大街团结大道1006号,30.59118,114.358895
武钢宾馆,湖北省武汉市青山区和平大道943号,30.626467,114.373824
武汉添雅1911酒店(汉口火车站店),新华西路591号,30.620477,114.268827
宜必思酒店(武汉司门口黄鹤楼地铁站店),民主路118号司门口天桥以纯大楼5楼,30.551478,114.306254
武汉五月花大酒店,湖北省武汉市武昌区武珞路385号,30.54256,114.334095
麗枫酒店(江汉路万达广场店),湖北省武汉市江汉区花楼街220号,30.58291,114.299024
武汉玛雅嘉途酒店,欢乐大道218号,30.601725,114.403173
怡程酒店(武汉光谷广场杨家湾地铁站店),虎泉街鲁巷特2号,30.511382,114.39461
金泰商务酒店(武汉藏龙岛湖北经济学院店),藏龙岛科技园杨桥湖大道13号,30.422993,114.434
YES花园酒店(汉口火车站泛海CBD店),常青路77号,30.619692,114.253687
星空酒店(武汉国际博览中心永旺店),江城大道华发未来荟S4综合楼301,30.518618,114.224078
如家商旅酒店(武汉大学街道口店),珞瑜路20号阜华大厦,30.532516,114.360236
麗枫酒店(武汉江汉路吉庆街店),铭新街9号德润大厦1楼,30.591973,114.29753
武汉美联假日酒店(江汉路武汉国际广场店),湖北省武汉市江汉区解放大道868号,30.589763,114.288766
凯里亚德酒店(武汉汉口火车站唐家墩地铁站店),唐家墩路197号顶琇国际城C区10栋,30.62552,114.276475
武汉江岸华美达酒店(汉口火车站店),塔子湖东路与健康街交叉口越秀星汇君泊三期B座,30.657486,114.287685
武汉藏龙大道高铁凯瑞国际酒店,佛祖岭街道,30.434615,114.417205
爱家酒店公寓(武汉徐东大街店),湖北省武汉市武昌区徐东大街156号福星惠誉国际城8栋2单元1012室,30.587563,114.360508
星程酒店(武汉江汉路吉庆街店),大智路28号,30.59336,114.301706
爱莱塔酒店(武汉国际博览中心永旺店),四新南路华发未来荟S4综合楼23楼,30.518489,114.22419
优居酒店(武汉古田凯德广场店),古田二路招商江湾国际A栋,30.602304,114.197904
汉宫银座,湖北省武汉市武昌区积玉桥临江大道66号(昙华林武胜门地铁站C口步行170米),30.561464,114.312103
